,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place,Transfer Spend Summer,Transfer Spend Winter,Wage Bill,Points Improvement,Place Improvement,Wage Bill Increase,Lat,Lon
122,Liverpool FC,2020/2021,20,9,9,68,29,39,42,20,22,26,69,3,75896226.41509433,3990825.6880733944,147292989.62,-30.0,2.0,16826412.480000004,53.430819,-2.960828
123,Chelsea FC,2020/2021,19,9,10,58,31,27,36,18,18,22,67,4,233207547.1698113,0.0,166297507.55,1.0,0.0,30401918.98000002,51.481667,-0.191111
124,Leicester City FC,2020/2021,20,12,6,68,34,34,50,30,20,18,66,5,56037735.8490566,0.0,87221481.13,4.0,0.0,3707881.129999995,52.620278,-1.142222
125,West Ham United FC,2020/2021,19,11,8,62,32,30,47,22,25,15,65,6,26132075.471698113,24770642.20183486,74789559.43,26.0,-10.0,-9832561.519999996,51.531944,0.039444
126,Tottenham Hotspur FC,2020/2021,18,12,8,68,35,33,45,20,25,23,62,7,104245283.01886792,0.0,151293706.6,3.0,1.0,29106936.11999999,51.603333,-0.065833
127,Arsenal FC,2020/2021,18,13,7,55,24,31,39,21,18,16,61,8,79245283.01886792,1834862.3853211007,165890248.11,5.0,0.0,31255373.820000023,51.555,-0.108611
128,Leeds United,2020/2021,18,15,5,62,28,34,54,21,33,8,59,9,0.0,0.0,27211174.53,,,,53.777778,-1.572222
129,Everton FC,2020/2021,17,13,8,47,24,23,48,28,20,-1,59,10,70160377.35849056,0.0,103587744.34,10.0,-2.0,3718970.049999997,53.438889,-2.966389
130,Aston Villa FC,2020/2021,16,15,7,55,29,26,46,27,19,9,55,11,80707547.16981132,14495412.844036696,69880943.4,20.0,-6.0,11786006.260000005,52.509167,-1.884722
131,Wolverhampton Wanderers FC,2020/2021,12,17,9,36,21,15,52,25,27,-16,45,12,79800943.3962264,2752293.5779816513,57956167.92,-14.0,5.0,-3523378.75,52.590278,-2.130278
132,Newcastle United FC,2020/2021,12,17,9,46,26,20,62,33,29,-16,45,13,36556603.7735849,0.0,64742762.26,1.0,0.0,-11706315.839999996,54.975556,-1.621667
133,Crystal Palace FC,2020/2021,12,18,8,41,20,21,66,32,34,-25,44,14,17830188.679245282,3211009.1743119266,99832290.57,1.0,0.0,15455498.189999998,51.398333,-0.085556
134,Southampton FC,2020/2021,12,19,7,47,28,19,68,25,43,-21,43,15,35188679.245283015,0.0,64335489.62,-9.0,4.0,3526047.719999999,50.905833,-1.391111
135,Brighton & Hove Albion FC,2020/2021,9,15,14,40,22,18,46,22,24,-6,41,16,20660377.358490564,25871559.63302752,58029411.32,0.0,1.0,2694410.3699999973,50.861822,-0.083278
136,Burnley FC,2020/2021,10,19,9,33,14,19,55,27,28,-22,39,17,1037735.8490566037,0.0,41347119.81,-15.0,7.0,-9160836.379999995,53.789167,-2.230278
137,Fulham FC,2020/2021,5,20,13,27,9,18,53,28,25,-26,28,18,35141509.43396226,0.0,58693112.26,,,,51.475,-0.221667
138,West Bromwich Albion FC,2020/2021,5,22,11,35,15,20,76,39,37,-41,26,19,38160377.358490564,1550458.7155963301,41726489.62,,,,52.509167,-1.963889
139,Sheffield United FC,2020/2021,7,29,2,20,12,8,63,27,36,-43,23,20,59150943.39622641,0.0,22599327.36,-31.0,11.0,-4863734.539999999,53.370278,-1.470833
140,Manchester City FC,2021/2022,29,3,6,99,58,41,26,15,11,73,93,1,107798165.13761467,17983193.277310926,165812445.87,7.0,0.0,10916291.150000006,53.482989,-2.200292
141,Liverpool FC,2021/2022,28,2,8,94,49,45,26,9,17,68,92,2,36697247.706422016,45378151.2605042,158000599.08,23.0,-1.0,10707609.460000008,53.430819,-2.960828
142,Chelsea FC,2021/2022,21,6,11,76,37,39,33,22,11,43,74,3,108256880.73394495,0.0,192440556.88,7.0,-1.0,26143049.329999983,51.481667,-0.191111
143,Tottenham Hotspur FC,2021/2022,22,11,5,69,38,31,40,19,21,29,71,4,61376146.78899082,24369747.899159666,120558442.2,9.0,-3.0,-30735264.39999999,51.603333,-0.065833
144,Arsenal FC,2021/2022,22,13,3,61,35,26,48,17,31,13,69,5,151926605.50458714,1512605.0420168068,125131765.14,8.0,-3.0,-40758482.97000001,51.555,-0.108611
145,Manchester United FC,2021/2022,16,12,10,57,32,25,57,22,35,0,58,6,130275229.35779816,0.0,261324842.2,-16.0,4.0,43726786.53999999,53.463056,-2.291389
146,West Ham United FC,2021/2022,16,14,8,60,33,27,51,26,25,9,56,7,68348623.853211,0.0,81571428.44,-9.0,1.0,6781869.00999999,51.531944,0.039444
147,Leicester City FC,2021/2022,14,14,10,62,34,28,59,23,36,3,52,8,62018348.62385321,0.0,81367922.94,-14.0,3.0,-5853558.189999998,52.620278,-1.142222
